artist;song;duration_ms
The Supermen Lovers;Starlight - Radio Edit;234400
Mis-Teeq;All I Want - Sunship Radio Edit;207400
Jagged Edge;Promise;246720
S Club 7;Have You Ever;201533
Enya;Only Time;218546
Faith Hill;There You'll Be;222120
Ronan Keating;Lovin' Each Day;212973
Destiny's Child;Bootylicious;207906
Steps;It's the Way You Make Me Feel;197360
Sunshine Anderson;Heard It All Before;295826
Lenny Kravitz;Again;231666
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;162333
DB Boulevard;Point Of View - Radio Edit;231166
Janet Jackson;All For You;329933
Atomic Kitten;Whole Again;185013
Ja Rule;Livin' It Up;257066
Destiny's Child;Independent Women, Pt. 1;221133
DJ Pied Piper & The Masters Of Ceremonies;Do You Really Like It? - Radio Edit;217120
Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;262133
Musiq Soulchild;Love;304666
So Solid Crew;21 Seconds;302826
Robbie Williams;Eternity;302760
Basement Jaxx;Romeo;217493
Ludacris;Southern Hospitality (Featuring Pharrell);300933
Gabrielle;Rise;219093
Nelly;Ride Wit Me;291781
Trick Daddy;I'm a Thug;254400
Travis;Sing;228800
JAY-Z;Izzo (H.O.V.A.);240626
Gabrielle;Out Of Reach;196986
OPM;Heaven Is a Halfpipe (If I Die);257426
K-Ci & JoJo;Crazy;262773
Staind;It's Been Awhile;264706
3LW;No More (Baby I'ma Do Right);263440
Ginuwine;Differences;265533
*NSYNC;Gone;292000
Lifehouse;Hanging By A Moment;216360
Nelly;Dilemma;289160
Eminem;Without Me;290320
Avril Lavigne;Complicated;244506
Vanessa Carlton;A Thousand Miles;237493
The Calling;Wherever You Will Go;208600
Shakira;Underneath Your Clothes;224066
No Doubt;Underneath It All;302720
Truth Hurts;Addictive;226440
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);324306
Eminem;'Till I Collapse;297786
Diddy;I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans];285586
Christina Milian;When You Look At Me - Radio Edit;222546
Madonna;Die Another Day;276360
Jennifer Lopez;I'm Gonna Be Alright (feat. Nas);172240
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);244466
Linkin Park;In the End;216880
Aaliyah;Rock The Boat;275026
Holly Valance;Kiss Kiss;204400
Sugababes;Round Round;236426
Marilyn Manson;Tainted Love;200426
Brandy;What About Us?;253200
Chad Kroeger;Hero (feat. Josey Scott);200480
Britney Spears;Overprotected - Radio Edit;198600
Scooter;The Logical Song;234116
Missy Elliott;4 My People (feat. Eve);289373
Aaliyah;More Than A Woman;230346
Brandy;Full Moon;248933
Blue;One Love;207186
Busta Rhymes;Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix;238600
Céline Dion;A New Day Has Come - Radio Remix;259773
Scooter;Nessaja;208449
Eve;Gangsta Lovin';239266
Disturbing Tha Peace;Move Bitch;272293
Khia;My Neck, My Back (Lick It);222560
Tweet;Oops (Oh My) [feat. Missy Elliott];237800
Kylie Minogue;Spinning Around;207866
Nelly;Hot In Herre;228240
Gareth Gates;Anyone of Us (Stupid Mistake);227866
Christina Aguilera;Dirrty (feat. Redman);298853
B2K;Uh Huh;223293
Sugababes;Freak Like Me;195866
Dirty Vegas;Days Go By;432146
Fat Joe;What's Luv? (feat. Ja-Rule & Ashanti);267093
Liberty X;Just A Little;237359
No Doubt;Hella Good;242586
LL Cool J;Luv U Better;287000
Red Hot Chili Peppers;Can't Stop;269000
Musiq Soulchild;Halfcrazy;254493
Sean Paul;Gimme the Light;228000
Faith Evans;I Love You;267160
Charli Baltimore;Down 4 U;318213
Kylie Minogue;Love at First Sight;238266
N.O.R.E.;Nothin';264653
Gareth Gates;Unchained Melody;233666
Diddy;I Need a Girl (Pt. 1) [feat. Usher & Loon];268800
Big Brovaz;Nu Flow;201480
No Doubt;Hey Baby;207040
Ashanti;Baby;265706
Sophie Ellis-Bextor;Murder On The Dancefloor;230013
Justin Timberlake;Like I Love You;283626
Mary J. Blige;Rainy Dayz;276373
A1;Caught in the Middle;206466
Eminem;Cleanin' Out My Closet;297840
Ashanti;Happy;262226
Delta Goodrem;Born to Try;251280
P!nk;Get the Party Started;192533
Alicia Keys;A Woman's Worth;303333
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;161240
Coldplay;Clocks;307879
Missy Elliott;Work It;263226
Ronan Keating;If Tomorrow Never Comes;214306
Big Tymers;Still Fly;335613
Creed;My Sacrifice;294600
Ja Rule;Always On Time;245133
Ashanti;Foolish;227386
Avril Lavigne;Sk8er Boi;204000
DJ Sammy;Heaven;233600
Britney Spears;I'm Not a Girl, Not Yet a Woman;231066
Cam’ron;Oh Boy;204706
Red Hot Chili Peppers;By the Way;216933
Elvis Presley;A Little Less Conversation - JXL Radio Edit Remix;211506
Atomic Kitten;The Tide Is High - Radio Mix;206093
*NSYNC;Girlfriend;253600
Robbie Williams;Somethin' Stupid;170493
Alanis Morissette;Hands Clean;269400
Usher;U Don't Have to Call;269400
Creed;One Last Breath - Radio Version;242000
The Goo Goo Dolls;Here Is Gone;238173
Puddle Of Mudd;She Hates Me;216760
Ludacris;Rollout (My Business);296586
Blazin' Squad;Crossroads - Radio Edit;188693
Default;Wasting My Time;268693
Michelle Branch;All You Wanted;217680
Daniel Bedingfield;If You're Not The One;257026
Enrique Iglesias;Escape;208626
Puddle Of Mudd;Blurry;303920
Coldplay;In My Place;226680
Outkast;The Whole World (feat. Killer Mike);295346
P!nk;Don't Let Me Get Me - Radio Edit;210693
50 Cent;In Da Club;193466
Sean Paul;Get Busy;211666
Eminem;"Lose Yourself - From ""8 Mile"" Soundtrack";322226
Beyoncé;Crazy In Love (feat. Jay-Z);236133
Counting Crows;Big Yellow Taxi;225426
Black Eyed Peas;Where Is The Love?;272533
Jennifer Lopez;Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix;187840
Black Eyed Peas;Shut Up;296186
