artist;song;duration_ms
My Chemical Romance;Welcome to the Black Parade;311106
Razorlight;In The Morning;222453
The All-American Rejects;Dirty Little Secret;193653
James Morrison;Wonderful World;210066
Chris Brown;Yo (Excuse Me Miss);229040
P!nk;Who Knew;208493
The Kooks;Naive;203506
Leona Lewis;Bleeding Love;262466
Rihanna;Umbrella;275986
Britney Spears;Gimme More;251240
Fergie;Big Girls Don't Cry (Personal);268120
Mark Ronson;Valerie (feat. Amy Winehouse) - Version Revisited;219413
Plain White T's;Hey There Delilah;232533
Justin Timberlake;What Goes Around.../...Comes Around (Interlude);448573
Gwen Stefani;The Sweet Escape;246466
Timbaland;The Way I Are;179120
Nelly Furtado;Say It Right;223080
Ida Corr;Let Me Think About It;151973
Alex Gaudino;Destination Calabria - Radio Edit;223111
September;Cry for You;209800
Akon;Smack That;212360
Timbaland;Give It To Me;234026
50 Cent;Ayo Technology;247946
Eric Prydz;Proper Education - Radio Edit;198567
Fedde Le Grand;Put Your Hands Up For Detroit - Radio Edit;150533
Ciara;Like a Boy;237053
Kanye West;Stronger;311866
Beyoncé;Beautiful Liar;199853
Gym Class Heroes;Cupid's Chokehold / Breakfast in America - Radio Mix;237173
Akon;I Wanna Love You;247066
Soulja Boy;Crank That (Soulja Boy);221933
Fat Joe;Make It Rain;247413
P!nk;U + Ur Hand;214386
Rihanna;Shut Up And Drive;212280
Lloyd;Get It Shawty;209533
Kanye West;Can't Tell Me Nothing;271600
Camille Jones;The Creeps - Fedde Le Grand Radio Mix;152333
Linkin Park;What I've Done;205613
Keyshia Cole;Last Night;255706
Chris Brown;Kiss Kiss (feat. T-Pain);250666
Shop Boyz;Party Like A Rock Star;253400
Finger Eleven;Paralyzer;208106
Justin Timberlake;Summer Love;252973
MiMS;This Is Why I'm Hot;253706
Fabolous;Make Me Better;253573
Seether;Fake It;193893
Take That;Patience;202066
Arctic Monkeys;Brianstorm;172866
Justin Timberlake;My Love (feat. T.I.);276160
Fergie;Glamorous;246600
Linkin Park;Bleed It Out;166373
My Chemical Romance;Teenagers;161920
Calvin Harris;Acceptable in the 80's;333680
Sugababes;About You Now;212400
Avril Lavigne;Girlfriend;216600
Ne-Yo;Because Of You;266840
Daughtry;It's Not Over;215173
Unk;Walk It Out;173040
Lloyd;You;273133
Klaxons;Golden Skans;165120
T-Pain;Bartender (feat. Akon);238800
Baby Boy Da Prince;The Way I Live - Main Explicit;324906
Fergie;Fergalicious;292373
Omarion;Ice Box;256426
Pretty Ricky;On the Hotline - Amended Version;242586
Nickelback;Rockstar;252040
Fall Out Boy;Thnks fr th Mmrs;203506
Justin Timberlake;LoveStoned / I Think She Knows (Interlude);444333
All Time Low;Dear Maria, Count Me In;182826
Amy Winehouse;Back To Black;241293
Keyshia Cole;Let It Go;238360
Ciara;Promise;267413
Enrique Iglesias;Do You Know? (The Ping Pong Song);219533
T2;Heartbroken - Edit;178613
Robyn;With Every Heartbeat;254920
Maroon 5;Makes Me Wonder;211080
Fall Out Boy;This Ain't A Scene, It's An Arms Race;212040
Paramore;Misery Business;211520
Hinder;Better Than Me;223533
Huey;Pop, Lock & Drop It - Video Edit;261026
Foo Fighters;The Pretender;269373
Plies;Shawty (feat. T Pain);255413
Kaiser Chiefs;Ruby;204200
Mark Ronson;Stop Me (feat. Daniel Merriweather);232946
Bow Wow;Outta My System (feat. T-Pain & Johntá Austin);238266
Jim Jones;We Fly High;236080
The Red Jumpsuit Apparatus;Face Down;192000
MIKA;Grace Kelly;187733
Christina Aguilera;Candyman;194213
Sean Kingston;Beautiful Girls;225373
Akon;Don't Matter;293066
James Blunt;1973;280026
Carrie Underwood;Before He Cheats;199946
Just Jack;Starz In Their Eyes;295933
T-Pain;Buy U a Drank (Shawty Snappin') (feat. Yung Joc);227960
Bone Thugs-N-Harmony;I Tried;287480
Avril Lavigne;When You're Gone;240493
Rich Boy;Throw Some D's;263920
MIKA;Love Today;235173
Manic Street Preachers;Your Love Alone Is Not Enough (feat. Nina Persson);235693
Elliott Yamin;Wait for You;261320
Wyclef Jean;Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia);241133
Boys Like Girls;The Great Escape;206520
Take That;Rule The World - Radio Edit;237760
J. Holiday;Bed;275106
Red Hot Chili Peppers;Snow (Hey Oh);334666
Ludacris;Runaway Love;280680
Flo Rida;Low (feat. T-Pain);231400
Katy Perry;I Kissed A Girl;179640
Rihanna;Take A Bow;229413
Alicia Keys;No One;253813
Timbaland;Apologize;184400
Ne-Yo;Miss Independent;232000
Chris Brown;With You;252120
Beyoncé;If I Were a Boy;249146
Kardinal Offishall;Dangerous;246053
Madcon;Beggin (original version);216146
September;Cry for You;209800
Rihanna;Disturbia;238626
Guru Josh Project;Infinity 2008;190013
Britney Spears;Break the Ice;196053
Lil Wayne;Lollipop;299333
Basshunter;Now You're Gone - Video Edit;148186
Kanye West;Flashing Lights;237506
Madonna;4 Minutes (feat. Justin Timberlake & Timbaland);189693
Katy Perry;Hot N Cold;220226
Rihanna;Don't Stop The Music;267080
Snoop Dogg;Sensual Seduction;245520
Akon;Right Now (Na Na Na);240746
Britney Spears;Womanizer;224400
Eric Prydz;Pjanoo - Radio Edit;157432
Kelly Rowland;Work;207920
Jeezy;Put On;321293
Madonna;Give It 2 Me;287906
The Pussycat Dolls;When I Grow Up;245680
will.i.am;Heartbreaker;327880
Soulja Boy;Crank That (Soulja Boy);221933
Britney Spears;Piece of Me;212106
T.I.;Live Your Life;338853
Ne-Yo;Closer;234360
Lil Wayne;A Milli;221840
Colby O'Donis;What You Got;243013
Miley Cyrus;See You Again;190453
Basshunter;All I Ever Wanted - Radio Edit;176453
Chris Brown;Kiss Kiss (feat. T-Pain);250666
Finger Eleven;Paralyzer;208106
Alesha Dixon;The Boy Does Nothing;210680
Dizzee Rascal;Dance Wiv Me - Radio Edit;204093
Gabriella Cilmi;Sweet About Me;202133
Jack White;Another Way to Die;262240
Plies;Hypnotized (feat. Akon);188493
The Pussycat Dolls;I Hate This Part;218400
Sean Kingston;Take You There;236693
Natasha Bedingfield;Pocketful of Sunshine;203440
The Offspring;You're Gonna Go Far, Kid;177826
Kanye West;Homecoming;203493
Estelle;American Boy;284733
Saving Abel;Addicted;222826
Pendulum;Propane Nightmares;313346
The Game;My Life;320893
Danity Kane;Damaged;244266
P!nk;So What;215160
Kanye West;Love Lockdown;270306
Gym Class Heroes;Cookie Jar (feat. The-Dream);216317
M.I.A.;Paper Planes;205200
3 Doors Down;It's Not My Time;241960
Kylie Minogue;Wow;190973
Mariah Carey;Touch My Body;204733
MGMT;Kids;302840
The Ting Tings;Shut Up and Let Me Go;171226
Lil Wayne;Got Money;244626
Santana;Into the Night (feat. Chad Kroeger);222440
The-Dream;I Luv Your Girl;267866
Wiley;Wearing My Rolex - Radio Edit;170480
Usher;Love in This Club (feat. Young Jeezy);259720
Sam Sparro;Black & Gold - Radio Edit;212360
"H ""two"" O";What's It Gonna Be (feat. Platnum);207476
The Ting Tings;That's Not My Name;310573
Plies;Bust It Baby, Pt. 2 (feat. Ne-Yo);240760
James Morrison;Broken Strings;250453
Leona Lewis;Run;314720
Metro Station;Shake It;179946
T.I.;Whatever You Like;249533
Trey Songz;Can't Help but Wait;206413
OneRepublic;Stop And Stare;223853
Alexandra Burke;Hallelujah;217826
Mary J. Blige;Just Fine;242133
Jordin Sparks;One Step At a Time;205160
Coldplay;Viva La Vida;242373
Kings of Leon;Sex on Fire;203346
Kanye West;Good Life;207000
Duffy;Mercy;219920
David Archuleta;Crush;213520
J. Holiday;Suffocate - Superclean;220053
Gavin DeGraw;In Love With a Girl;206000
Jordin Sparks;Tattoo;233466
Coldplay;Violet Hill;222653
Ray J;Sexy Can I feat. Yung Berg;204040
Jennifer Hudson;Spotlight;250106
John Legend;Green Light (feat. André 3000);284186
Jonas Brothers;Burnin' Up;175093
Lupe Fiasco;Superstar (feat. Matthew Santos);289000
Chris Brown;Forever;278573
Adele;Chasing Pavements;210506
Leona Lewis;Better in Time;234173
Fergie;Clumsy;240426
T-Pain;Can't Believe It (feat. Lil' Wayne);273826
Black Eyed Peas;I Gotta Feeling;289133
Lady Gaga;Poker Face;237200
Beyoncé;Halo;261640
David Guetta;Sexy Bitch (feat. Akon);195853
Flo Rida;Right Round;204640
Taylor Swift;Love Story;236266
Pitbull;Hotel Room Service;238506
Britney Spears;Circus;192360
Lady Gaga;LoveGame;216333
Skillet;Monster;178013
The Prodigy;Omen;216026
Black Eyed Peas;Meet Me Halfway;284373
Kanye West;Heartless;211000
Kid Cudi;Day 'N' Nite (Nightmare);221240
Lady Gaga;Just Dance;241933
Britney Spears;If U Seek Amy;216520
Pitbull;I Know You Want Me (Calle Ocho);237120
Mariah Carey;Obsessed;242200
Beyoncé;Sweet Dreams;208066
Agnes;Release Me;256213
Black Eyed Peas;Boom Boom Pow;251440
Shakira;She Wolf;188866
Lady Gaga;Paparazzi;208306
JAY-Z;Empire State Of Mind;276920
OneRepublic;All The Right Moves;238000
Jeremih;Birthday Sex;226506
Cascada;Evacuate The Dancefloor;207200
Linkin Park;New Divide;268613
Kevin Rudolf;Let It Rock;231173
JAY-Z;Run This Town;267520
Lady Gaga;Bad Romance;294573
T.I.;Live Your Life;338853
Eminem;We Made You;269613
Dizzee Rascal;Bonkers;177573
Ciara;Love Sex Magic (feat. Justin Timberlake);220426
Rihanna;Russian Roulette;227533
Soulja Boy;Turn My Swag On;206333
The xx;Intro;127920
Jay Sean;Down;212106
Keri Hilson;Turnin Me On - Original Dirty;248066
David Guetta;When Love Takes Over (feat. Kelly Rowland);191000
Cheryl;Fight For This Love;223253
Soulja Boy;Kiss Me Thru The Phone;193386
Eminem;Crack A Bottle;297520
P!nk;Sober;251440
Tinchy Stryder;Number 1;212773
Pixie Lott;Mama Do (Uh Oh, Uh Oh);196520
JLS;Beat Again - Radio Edit;196640
3OH!3;DONTTRUSTME;192573
A.R. Rahman;Jai Ho! (You Are My Destiny);222400
The Pussycat Dolls;I Hate This Part;218400
Akon;Beautiful;312986
Alexandra Burke;Bad Boys (feat. Flo Rida);206480
Mario;Break Up;249026
Drake;Forever;357706
Selena Gomez & The Scene;Naturally;202586
Kanye West;Love Lockdown;270306
The Veronicas;Untouched;255360
Fabolous;Throw It In The Bag;231573
Jason Derulo;Whatcha Say;221253
Lily Allen;Not Fair;201213
T.I.;Dead And Gone;299746
Sean Kingston;Fire Burning;239986
Empire of the Sun;Walking On A Dream;198440
Cobra Starship;Good Girls Go Bad (feat. Leighton Meester);196413
Nickelback;If Today Was Your Last Day;249066
La Roux;Bulletproof;205733
Kasabian;Fire;252279
Calvin Harris;I'm Not Alone - Radio Edit;210973
Justin Bieber;One Time;215866
Jamie Foxx;Blame It;289746
La Roux;In For The Kill;248626
Muse;Uprising;304840
Nickelback;Gotta Be Somebody;252653
James Morrison;Broken Strings;250453
T.I.;Whatever You Like;249533
Dizzee Rascal;Holiday;220626
Beyoncé;Single Ladies (Put a Ring on It);193213
Boys Like Girls;Love Drunk;226706
The-Dream;Rockin' That Shit;221920
OneRepublic;Secrets;224693
JLS;Everybody in Love;195586
Jason Aldean;Big Green Tractor;204200
The Fray;Never Say Never;256613
Lily Allen;The Fear;207120
Kings of Leon;Sex on Fire;203346
Drake;Best I Ever Had;258760
Kelly Clarkson;Already Gone;281560
Miley Cyrus;Party In The U.S.A.;202066
Jordin Sparks;Battlefield;241920
Ne-Yo;Mad;254533
Green Day;21 Guns;321093
Keri Hilson;Knock You Down;326186
Taylor Swift;You Belong With Me;231146
Shinedown;Second Chance;222066
Asher Roth;I Love College;241933
Katy Perry;Waking Up In Vegas;199186
Kelly Clarkson;My Life Would Suck Without You;211493
Mumford & Sons;Little Lion Man;245173
The Fray;You Found Me;241853
Bruno Mars;Just the Way You Are;220734
Eminem;Love The Way You Lie;263373
Lady Gaga;Bad Romance;294573
Stromae;Alors on danse - Radio Edit;206066
Kesha;TiK ToK;199693
David Guetta;Memories (feat. Kid Cudi);210853
Taio Cruz;Dynamite;202613
Rihanna;Only Girl (In The World);235493
Katy Perry;California Gurls;234653
Kesha;Take It Off;215200
INNA;Hot - Play & Win Radio Version;217036
Far East Movement;Like A G6;216893
David Guetta;Gettin' Over You (feat. Fergie & LMFAO);188000
Duck Sauce;Barbra Streisand - Radio Edit;196533
Lucenzo;Danza Kuduro (feat. Don Omar);213986
Rihanna;Te Amo;208426
Timbaland;Carry Out (Featuring Justin Timberlake);232466
DJ Fresh;Gold Dust - Radio Edit;192446
Edward Maya;Stereo Love - Radio Edit;184573
Taio Cruz;Break Your Heart;201546
Black Eyed Peas;Imma Be;257560
Sidney Samson;Riverside;320348
Eminem;Not Afraid;248133
Lady Gaga;Alejandro;274213
Rihanna;Rude Boy;222920
Ne-Yo;Beautiful Monster;251573
3OH!3;Starstrukk;203093
Black Eyed Peas;The Time (Dirty Bit);307640
Kelly Rowland;Commander;218106
Swedish House Mafia;One (Your Name) - Radio Edit;163246
Chris Brown;Deuces (feat. Tyga & Kevin McCall);276560
Usher;DJ Got Us Fallin' In Love (feat. Pitbull);220800
Iyaz;Replay;182306
Flo Rida;Club Can't Handle Me (feat. David Guetta);234560
Sean Kingston;Eenie Meenie;201946
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);263773
Tinie Tempah;Written in the Stars (feat. Eric Turner);207653
Bruno Mars;Talking to the Moon;217866
Miley Cyrus;Can't Be Tamed;168213
Mike Posner;Cooler Than Me - Single Mix;213293
Lady Gaga;Telephone;220640
Yolanda Be Cool;We No Speak Americano (JT Radio Edit);157438
Rihanna;Hard;250600
Tinie Tempah;Pass Out;268053
Adam Lambert;Whataya Want from Me;227320
Trey Songz;Bottoms Up (feat. Nicki Minaj);242013
Timbaland;If We Ever Meet Again (Featuring Katy Perry);292706
Enrique Iglesias;I Like It;231373
Tim Berg;Seek Bromance - Avicii’s Vocal Edit;203960
Usher;OMG (feat. will.i.am);269493
Maroon 5;Misery;216200
Jay Sean;Down;212106
Rihanna;Man Down;267000
3OH!3;My First Kiss (feat. Ke$ha);192440
Justin Bieber;Baby;214240
Cali Swag District;Teach Me How to Dougie;237480
Swedish House Mafia;Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah;206460
K'NAAN;Wavin' Flag;220520
Ludacris;How Low;201586
Kesha;Blah Blah Blah (feat. 3OH!3);172053
DJ Khaled;All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross);232506
Jason Derulo;In My Head;199026
Aloe Blacc;I Need A Dollar;243053
B.o.B;Airplanes (feat. Hayley Williams of Paramore);180480
Ludacris;My Chick Bad;216933
Nelly;Just A Dream;237800
Rihanna;What's My Name?;263173
Shontelle;Impossible;226533
Take That;The Flood;289359
Trey Songz;Say Aah (feat. Fabolous);207546
Jason Derulo;Whatcha Say;221253
Drake;Over;233560
Example;Kickstarts;181826
Plan B;She Said;208853
The Saturdays;Higher;207613
Jay Sean;Do You Remember;210306
Usher;Hey Daddy (Daddy's Home);224093
Lil Wayne;Right Above It;271946
The Wanted;All Time Low;205200
Kesha;Your Love Is My Drug;187133
Ellie Goulding;Starry Eyed;176613
Drake;Find Your Love;208946
Jason Derulo;Ridin' Solo;215746
Two Door Cinema Club;What You Know;189693
JAY-Z;Young Forever;253906
Young Money;BedRock;288133
B.o.B;Nothin' on You (feat. Bruno Mars);268320
Katy Perry;Teenage Dream;227741
Scouting For Girls;This Ain't a Love Song;210680
Travie McCoy;Billionaire (feat. Bruno Mars);211160
Owl City;Fireflies;228346
Alicia Keys;Empire State of Mind (Part II) Broken Down;216480
Lady A;Need You Now;236440
Taylor Swift;Back To December;293026
Neon Trees;Animal;212306
Kris Allen;Live Like We're Dying;212506
Matt Cardle;When We Collide;226000
Robyn;Dancing On My Own;288670
The Band Perry;If I Die Young;222773
B.o.B;Magic (feat. Rivers Cuomo);196133
Adele;Rolling in the Deep;228093
Maroon 5;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";201493
LMFAO;Party Rock Anthem;262146
Katy Perry;Firework;227893
Bruno Mars;Grenade;222091
Pitbull;Hey Baby (Drop It to the Floor) (feat. T-Pain);234453
Alexandra Stan;Mr. Saxobeat;195105
David Guetta;Who's That Chick? (feat. Rihanna);201040
Jennifer Lopez;On The Floor;284866
Rihanna;S&M;243533
Kesha;Blow;219973
Snoop Dogg;Sweat - Remix;195986
Taio Cruz;Higher;187626
Usher;More - RedOne Jimmy Joker Remix;219986
Example;Changed the Way You Kiss Me - Radio Edit;195466
Black Eyed Peas;Just Can’t Get Enough;219426
David Guetta;Where Them Girls At (feat. Nicki Minaj & Flo Rida);194840
Lykke Li;I Follow Rivers - The Magician Remix;281106
Pitbull;Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);252306
Selena Gomez & The Scene;Love You Like A Love Song;188453
Wiz Khalifa;Black and Yellow;217666
Katy Perry;E.T.;229573
Britney Spears;I Wanna Go;210266
Gym Class Heroes;Stereo Hearts (feat. Adam Levine);210960
Edward Maya;Stereo Love - Radio Edit;184573
Enrique Iglesias;Tonight (I'm Fuckin' You);232213
Jeremih;Down On Me;228453
Sak Noel;Loca People - Radio Edit;215624
Olly Murs;Heart Skips a Beat (feat. Rizzle Kicks);202266
LMFAO;Sexy And I Know It;199480
Cobra Starship;You Make Me Feel... (feat. Sabi);215693
Jessie J;Do It Like A Dude;195240
DJ Fresh;Louder (feat. Sian Evans) - Radio Edit;206776
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);263773
Nickelback;When We Stand Together;190786
M83;Midnight City;243960
Britney Spears;Till the World Ends;237946
Labrinth;Earthquake (feat. Tinie Tempah);274600
Jason Derulo;Don't Wanna Go Home;206080
Coldplay;Paradise;278719
Katy Perry;Last Friday Night (T.G.I.F.);230746
Adele;Set Fire to the Rain;242973
Dr. Dre;I Need A Doctor;283733
Lil Wayne;6 Foot 7 Foot;248586
DJ Khaled;I'm On One;296146
Chris Brown;Look At Me Now (feat. Lil' Wayne & Busta Rhymes);222586
Far East Movement;Rocketeer;211253
The Wanted;Glad You Came;197935
Kesha;We R Who We R;204760
Kelly Rowland;Motivation;230560
Rihanna;We Found Love;215226
Nicole Scherzinger;Don't Hold Your Breath;197440
Mann;Buzzin Remix;224333
Chris Brown;Yeah 3x;241666
Swedish House Mafia;Save The World;213337
Kanye West;All Of The Lights;299613
Miguel;Sure Thing;195373
Diddy - Dirty Money;Coming Home;238693
Rihanna;What's My Name?;263173
Chris Brown;Beautiful People;225881
Avril Lavigne;What the Hell;220706
Professor Green;Read All About It;235735
Chase & Status;Blind Faith;233666
Chip;Champion (feat. Chris Brown);237293
Selena Gomez & The Scene;Who Says;195613
Rizzle Kicks;Down With The Trumpets;186851
Lady Gaga;Born This Way;260253
Nicki Minaj;Super Bass;200013
Mac Miller;Donald Trump;165908
Calvin Harris;Bounce (feat. Kelis) - Radio Edit;222186
David Guetta;Without You (feat. Usher);208133
Foster The People;Pumped Up Kicks;239600
Drake;Headlines;235986
Jessie J;Price Tag;223053
Jason Aldean;Dirt Road Anthem;229413
Wiz Khalifa;Roll Up;227773
OneRepublic;Good Life;253306
Bad Meets Evil;Lighters;303813
Bruno Mars;The Lazy Song;189109
Lupe Fiasco;The Show Goes On;239613
James Morrison;I Won't Let You Go;229303
Jason Derulo;It Girl;192200
Adele;Someone Like You;285240
Red Hot Chili Peppers;The Adventures of Rain Dance Maggie;282400
Keri Hilson;Pretty Girl Rock;243920
P!nk;F**kin' Perfect;213413
Blake Shelton;Honey Bee;210720
Lady Gaga;The Edge Of Glory;320546
Lady A;Just A Kiss;218840
Hot Chelle Rae;Tonight Tonight;200466
Grouplove;Tongue Tied;218013
Coldplay;Every Teardrop Is a Waterfall;240796
Beyoncé;Best Thing I Never Had;253746
P!nk;Raise Your Glass;202960
Christina Perri;Jar of Hearts;246587
Bruno Mars;Marry You;230192
The Band Perry;If I Die Young;222773
Lil Wayne;How To Love;240306
Charlene Soraia;Wherever You Will Go;197577
Christina Perri;A Thousand Years;285120
Rihanna;We Found Love;215226
Carly Rae Jepsen;Call Me Maybe;193400
fun.;We Are Young (feat. Janelle Monáe);250626
Sean Paul;She Doesn't Mind;227786
Pitbull;International Love (feat. Chris Brown);227280
DEV;In The Dark;226226
Adele;Skyfall;286480
David Guetta;Turn Me On (feat. Nicki Minaj);199680
Rihanna;Where Have You Been;242680
JAY-Z;Ni**as In Paris;219333
Maroon 5;One More Night;219546
Skrillex;Bangarang (feat. Sirah);215253
The Wanted;Chasing The Sun;198800
Flo Rida;Whistle;224653
will.i.am;This Is Love;279026
David Guetta;She Wolf (Falling to Pieces) [feat. Sia];222500
Nicki Minaj;Pound The Alarm;205640
Kendrick Lamar;Swimming Pools (Drank) - Extended Version;313786
MARINA;Primadonna;221075
Kanye West;Mercy;329320
DJ Fresh;Hot Right Now (feat. RITA ORA) - Radio Edit;182333
LMFAO;Sexy And I Know It;199480
PSY;Gangnam Style (강남스타일);219493
Kesha;Die Young;211920
Usher;Scream;234693
Olly Murs;Troublemaker (feat. Flo Rida);185586
Linkin Park;BURN IT DOWN;230253
Bruno Mars;Locked out of Heaven;233478
Avicii;Levels - Radio Edit;199906
Flo Rida;Good Feeling;248133
Rihanna;Diamonds;225146
Wiz Khalifa;Work Hard, Play Hard;219026
Katy Perry;Part Of Me;216160
Nicki Minaj;Starships;210626
Kendrick Lamar;m.A.A.d city;350120
Asaf Avidan & the Mojos;One Day / Reckoning Song (Wankelmut Remix) [Radio Edit];212360
Florence + The Machine;Spectrum (Say My Name) - Calvin Harris Remix;218190
Azealia Banks;212;204956
Maroon 5;Payphone;231173
James Arthur;Impossible;209440
Michel Teló;Ai Se Eu Te Pego - Live;166866
Otto Knows;Million Voices - Radio Edit;192866
Icona Pop;I Love It;156773
Tyga;Rack City;203200
Calvin Harris;Feel So Close - Radio Edit;206413
Jennifer Lopez;Dance Again;237266
Grimes;Oblivion;251266
Adele;Rumour Has It;223266
Coldplay;Paradise;278719
Chris Brown;Turn Up the Music;227973
Frank Ocean;Lost;234093
Calvin Harris;Let's Go (feat. Ne-Yo);232800
The Script;Hall of Fame (feat. will.i.am);202533
Swedish House Mafia;Don't You Worry Child - Radio Edit;212862
MARINA;How to Be a Heartbreaker;221493
Justin Bieber;Boyfriend;171333
David Guetta;Titanium (feat. Sia);245040
Jessie J;Domino;231840
Taylor Swift;I Knew You Were Trouble.;219720
ScHoolboy Q;Hands on the Wheel (feat. Asap Rocky);197131
P!nk;Try;247906
Robbie Williams;Candy;201053
Snoop Dogg;Young, Wild & Free (feat. Bruno Mars);207333
Justin Bieber;As Long As You Love Me;229466
Rita Ora;R.I.P. (feat. Tinie Tempah);228026
Alex Clare;Too Close;256613
Tyga;Faded;206666
Alesso;Years - ラジオ・エディット;195480
Guy Sebastian;Battle Scars (feat. Lupe Fiasco);250080
Katy Perry;The One That Got Away;227333
Avicii;Silhouettes - Original Radio Edit;211880
Gotye;Somebody That I Used To Know;244884
Flo Rida;Wild Ones (feat. Sia);232946
One Direction;What Makes You Beautiful;199986
Lana Del Rey;Born To Die;286253
Kesha;C'Mon;214333
Owl City;Good Time;205933
Calvin Harris;We'll Be Coming Back (feat. Example);234360
Emeli Sandé;Read All About It, Pt. III;283706
Ellie Goulding;Lights - Single Version;210853
Train;Drive By;195973
Disclosure;Latch;255631
Coldplay;Princess of China;239215
One Direction;Live While We're Young;200186
Gym Class Heroes;Ass Back Home (feat. Neon Hitch);222213
Carrie Underwood;Blown Away;240133
alt-J;Breezeblocks;227080
Chris Brown;Don't Wake Me Up;222306
Kelly Clarkson;Stronger (What Doesn't Kill You);221946
Drake;The Motto;181573
Katy Perry;Wide Awake;220946
Rita Ora;How We Do (Party);247026
Rudimental;Feel the Love (feat. John Newman);245186
Lana Del Rey;Ride;289080
Ne-Yo;Let Me Love You (Until You Learn To Love Yourself);251626
Demi Lovato;Give Your Heart a Break;205346
Drake;Take Care;277386
Little Mix;Wings;219733
Bruno Mars;It Will Rain;257720
Cher Lloyd;Want U Back;214013
Lorde;Royals;190185
Robin Thicke;Blurred Lines;263053
Imagine Dragons;Radioactive;186813
Avicii;Wake Me Up;247426
Bruno Mars;Locked out of Heaven;233478
Macklemore & Ryan Lewis;Thrift Shop (feat. Wanz);235613
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;248413
will.i.am;Scream & Shout;283400
Stromae;Papaoutai;232146
Bingo Players;Get Up (Rattle) - Vocal Edit;166933
Naughty Boy;La La La;220779
Tom Odell;Another Love;244360
2 Chainz;We Own It (Fast & Furious);227906
David Guetta;Play Hard (feat. Ne-Yo & Akon);201000
Pitbull;Feel This Moment (feat. Christina Aguilera);229506
will.i.am;#thatPOWER;279506
Lil Wayne;Love Me;255053
Macklemore & Ryan Lewis;Can't Hold Us (feat. Ray Dalton);258342
Martin Garrix;Animals - Radio Edit;176117
Jason Derulo;Talk Dirty (feat. 2 Chainz);177685
John Newman;Love Me Again;239894
Britney Spears;Work B**ch;247853
The Neighbourhood;Sweater Weather;240400
Sebastian Ingrosso;Reload - Radio Edit;221272
Capital Cities;Safe And Sound;192693
Demi Lovato;Heart Attack;210840
Arctic Monkeys;Why'd You Only Call Me When You're High?;161123
Justin Bieber;Beauty And A Beat;227986
Eminem;The Monster;250188
Pitbull;Don't Stop the Party (feat. TJR);206120
Selena Gomez;Come & Get It;231986
P!nk;True Love (feat. Lily Allen);230733
Disclosure;White Noise;277687
Flo Rida;I Cry;223800
Kanye West;Black Skinhead;188013
Lana Del Rey;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;214912
Eminem;Berzerk;238746
Icona Pop;I Love It (feat. Charli XCX);157152
Fall Out Boy;My Songs Know What You Did In The Dark (Light Em Up);186826
Lorde;Team;193058
Avicii;I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit;208316
Imagine Dragons;Demons;177506
One Direction;One Way or Another (Teenage Kicks);157293
Taylor Swift;I Knew You Were Trouble.;219720
Arctic Monkeys;Do I Wanna Know?;272394
Rudimental;Waiting All Night (feat. Ella Eyre);292586
Klangkarussell;Sonnentanz - Sun Don't Shine;238120
Calvin Harris;Drinking from the Bottle (feat. Tinie Tempah);240346
A$AP Rocky;F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar);233786
P!nk;Try;247906
Ylvis;The Fox (What Does the Fox Say?);213708
Ellie Goulding;Burn;231211
Baauer;Harlem Shake;196664
Calvin Harris;I Need Your Love (feat. Ellie Goulding);234506
Katy Perry;This Is How We Do;204285
AWOLNATION;Sail;259102
Duke Dumont;Need U (100%) [feat. A*M*E] - Radio Edit;174853
Jason Derulo;The Other Side;226986
Storm Queen;Look Right Through - MK Vocal Edit;150400
Calvin Harris;Sweet Nothing (feat. Florence Welch);212560
Katy Perry;Unconditionally;228878
Wale;Bad (feat. Rihanna) - Remix;238826
Ciara;Body Party;234040
Drake;Started From the Bottom;174120
Birdy;Wings;252106
Bastille;Of The Night;214205
Olly Murs;Dear Darlin';206373
Katy Perry;Roar;223546
Blake Shelton;Sure Be Cool If You Did;215720
Calvin Harris;Thinking About You (feat. Ayah Marar);247933
JAY-Z;Holy Grail;338413
Bridgit Mendler;Ready or Not;200946
The Saturdays;What About Us;220682
Bastille;Pompeii;214147
One Direction;Best Song Ever;200106
Nelly;Hey Porsche;209466
Zedd;Clarity;271426
Miley Cyrus;Wrecking Ball;221360
Chris Brown;Fine China;213666
Daft Punk;Lose Yourself to Dance (feat. Pharrell Williams);353893
Armin van Buuren;This Is What It Feels Like;204360
Justin Timberlake;Mirrors;484146
Bruno Mars;Treasure;178560
Of Monsters and Men;Little Talks;266600
Miley Cyrus;We Can't Stop;231240
J. Cole;Power Trip (feat. Miguel);241160
Paramore;Still into You;216013
