artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
Alice Deejay;Better Off Alone;0,671;0,88;8;-6,149;0;0,0552;0,00181;0,691;0,285;0,782;136,953
Gigi D'Agostino;The Riddle;0,74;0,876;6;-6,87;0;0,0369;0,0173;0,00152;0,0785;0,825;127,002
Dr. Dre;The Next Episode;0,922;0,909;10;-2,429;0;0,27;0,0281;0;0,0856;0,309;95,295
Linkin Park;In the End;0,556;0,864;3;-5,87;0;0,0584;0,00958;0;0,209;0,4;105,143
Tom Jones;Sexbomb;0,801;0,876;8;-3,94;0;0,0446;0,144;1,38E-05;0,104;0,932;122,979
Sonique;It Feels So Good;0,634;0,677;5;-7,278;0;0,0304;0,0117;0,00103;0,126;0,558;135,012
M.O.P.;Cold as Ice;0,656;0,88;11;-5,425;0;0,143;0,0421;0;0,294;0,758;85,565
Melanie C;I Turn To You;0,522;0,803;1;-5,825;1;0,0327;0,00117;0,00167;0,31;0,0783;135,205
Limp Bizkit;Take A Look Around;0,425;0,852;11;-5,607;1;0,046;0,0175;0,306;0,0935;0,512;101,968
Darude;Sandstorm;0,528;0,965;11;-7,984;0;0,0465;0,141;0,985;0,0797;0,587;136,065
Da Brat;What'chu Like (feat. Tyrese);0,879;0,681;10;-8,951;0;0,24;0,017;0;0,0669;0,817;99,974
Moloko;The Time Is Now;0,682;0,743;9;-10,644;0;0,165;0,35;0,000129;0,277;0,546;127,962
Chicane;Don't Give Up;0,644;0,72;10;-9,635;0;0,0419;0,00145;0,504;0,0839;0,53;132,017
DMX;Party Up;0,51;0,931;11;-3,302;1;0,347;0,0738;0;0,5;0,53;201,936
Debelah Morgan;Dance with Me;0,85;0,674;7;-7,981;0;0,0373;0,309;0,000645;0,0356;0,74;115,005
Madonna;Music;0,736;0,802;7;-8,527;1;0,0663;0,00149;0,0876;0,14;0,871;119,854
Ruff Endz;No More;0,839;0,641;10;-5,669;0;0,0858;0,0324;4,56E-06;0,0602;0,927;97,004
Britney Spears;Born to Make You Happy;0,633;0,922;11;-4,842;0;0,0454;0,116;0,000465;0,071;0,686;84,11
Montell Jordan;Get It On Tonite;0,813;0,491;10;-9,923;0;0,077;0,241;4,61E-05;0,0817;0,868;99,008
Kylie Minogue;Spinning Around;0,761;0,662;6;-7,645;0;0,0548;0,292;6,19E-05;0,0956;0,631;120,043
JAY-Z;Big Pimpin';0,88;0,814;11;-6,307;0;0,14;0,168;0,00672;0,0584;0,942;138,083
LeAnn Rimes;I Need You;0,478;0,736;7;-7,124;1;0,0367;0,02;9,58E-05;0,118;0,564;144,705
Avant;Separated;0,798;0,48;0;-5,564;1;0,0276;0,247;0;0,237;0,643;108,241
Enrique Iglesias;Be With You;0,683;0,866;1;-5,436;0;0,0329;0,0395;0,00161;0,0483;0,542;121,996
