artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
Will Young;Leave Right Now;0,641;0,445;6;-8,674;1;0,0368;0,145;0;0,108;0,383;81,931
Alicia Keys;You Don't Know My Name;0,264;0,663;9;-8,264;1;0,187;0,59;0,00443;0,342;0,249;167,078
Mariah Carey;We Belong Together;0,84;0,476;0;-7,918;1;0,0629;0,0264;0;0,0865;0,767;139,987
Mario;Let Me Love You;0,656;0,578;7;-8,97;0;0,0922;0,235;0;0,118;0,556;94,514
Kanye West;Gold Digger;0,629;0,696;1;-5,572;0;0,348;0,0195;0;0,0554;0,623;93,034
Rihanna;Pon de Replay;0,779;0,64;7;-8,415;1;0,159;0,000155;0,00077;0,101;0,498;99,019
50 Cent;Candy Shop;0,614;0,574;11;-7,961;1;0,466;0,0253;3,20E-05;0,38;0,755;125,173
James Blunt;You're Beautiful;0,675;0,479;0;-9,87;0;0,0278;0,633;1,76E-05;0,088;0,454;81,998
Green Day;Boulevard of Broken Dreams;0,49;0,679;8;-3,68;1;0,0309;0,00394;1,54E-05;0,0383;0,506;167,046
The Pussycat Dolls;Don't Cha;0,875;0,631;1;-3,475;1;0,099;0,00542;2,54E-06;0,127;0,549;120,003
Daniel Powter;Bad Day;0,599;0,785;3;-4,013;1;0,0309;0,448;0,00336;0,151;0,52;140,046
Akon;Bananza (Belly Dancer);0,878;0,699;10;-5,897;0;0,132;0,0345;3,37E-06;0,755;0,666;104,838
Madonna;Hung Up;0,649;0,647;9;-7,695;0;0,0452;0,0039;0,161;0,0686;0,405;125,02
50 Cent;Just A Lil Bit;0,489;0,692;1;-6,672;1;0,41;0,0322;0,00608;0,315;0,527;96,946
Crazy Frog;Axel F;0,86;0,907;2;-3,321;1;0,0407;0,279;0,693;0,0648;0,786;138,045
Eminem;Ass Like That;0,646;0,796;2;-6,152;1;0,366;0,409;0;0,107;0,676;83,093
Sean Paul;We Be Burnin';0,95;0,803;1;-4,195;1;0,151;0,145;0;0,0748;0,86;117
Gwen Stefani;Rich Girl;0,856;0,754;7;-2,728;0;0,0416;0,0294;1,49E-05;0,206;0,722;98,018
The Chemical Brothers;Galvanize;0,745;0,714;7;-3,681;1;0,0751;0,0141;0,0222;0,363;0,365;104,003
Fort Minor;Remember the Name (feat. Styles of Beyond);0,688;0,835;8;-4,162;1;0,0911;0,0583;2,87E-06;0,0795;0,88;84,858
50 Cent;Disco Inferno;0,925;0,659;3;-4,763;1;0,231;0,206;7,88E-05;0,279;0,71;97,018
The Game;How We Do;0,862;0,648;4;-7,401;0;0,251;0,0455;0;0,0332;0,637;98,012
Chris Brown;Run It! (feat. Juelz Santana);0,846;0,482;1;-6,721;0;0,129;0,0246;0;0,393;0,212;100,969
Mariah Carey;It's Like That;0,8;0,633;8;-4,875;0;0,0514;0,0901;0;0,0315;0,836;95,953
Black Eyed Peas;My Humps;0,802;0,682;1;-5,924;0;0,222;0,111;1,39E-05;0,109;0,586;123,95
Ciara;Oh (feat. Ludacris);0,8;0,496;7;-7,135;1;0,0506;0,000298;0;0,0697;0,357;128,29
50 Cent;Outta Control - Remix;0,772;0,599;8;-5,996;0;0,246;0,0277;0;0,0839;0,557;92,029
Baby Bash;Baby, I'm Back;0,899;0,365;9;-5,461;0;0,105;0,0508;0;0,097;0,749;100,01
Jennifer Lopez;Get Right;0,741;0,759;0;-5,096;0;0,12;0,0218;0;0,628;0,362;97,084
JAY-Z;Numb / Encore;0,687;0,793;2;-4,254;1;0,166;0,0603;0;0,582;0,751;107,045
The Game;Hate It Or Love It;0,802;0,785;9;-4,781;1;0,207;0,14;0;0,123;0,435;99,998
Gorillaz;Feel Good Inc.;0,818;0,705;6;-6,679;1;0,177;0,00836;0,00233;0,613;0,772;138,559
Black Eyed Peas;Don't Phunk With My Heart;0,69;0,928;5;-2,76;0;0,061;0,00937;0;0,547;0,604;130,889
Akon;Lonely;0,629;0,532;5;-7,88;0;0,0352;0,331;0;0,238;0,619;90,098
Bodyrockers;I Like The Way - Radio Edit;0,642;0,851;6;-3,638;1;0,0431;0,0248;0,0146;0,084;0,777;127,988
Sugababes;Push The Button;0,962;0,66;8;-5,096;1;0,061;0,0485;0;0,076;0,814;126,016
Jeezy;Soul Survivor;0,684;0,493;10;-7,728;1;0,0459;0,000839;0;0,157;0,08;84,03
Eminem;Mockingbird;0,637;0,678;0;-3,798;1;0,266;0,209;0;0,156;0,254;84,039
Shakira;La Tortura (feat. Alejandro Sanz);0,74;0,783;0;-5,367;1;0,0427;0,0297;0,000308;0,123;0,812;100,011
Gorillaz;DARE;0,76;0,891;11;-5,852;0;0,0372;0,0229;0,0869;0,298;0,966;120,264
Snoop Dogg;Signs;0,94;0,713;7;-5,308;1;0,127;0,0319;0,00076;0,325;0,666;112,955
Robbie Williams;Tripping;0,666;0,922;2;-4,458;0;0,0429;0,0381;0,000191;0,0633;0,828;118,014
David Banner;Play;0,837;0,658;1;-8,013;0;0,126;0,000213;0,122;0,243;0,586;95,027
Trillville;Some Cut;0,9;0,515;1;-6,626;1;0,372;0,00341;0;0,111;0,659;84,995
D4L;Laffy Taffy;0,891;0,439;7;-7,994;0;0,428;0,0351;0;0,0932;0,622;77,499
Missy Elliott;Lose Control (feat. Ciara & Fat Man Scoop);0,904;0,813;4;-7,105;0;0,121;0,0311;0,00697;0,0471;0,81;125,461
Rob Thomas;Lonely No More;0,551;0,896;9;-3,152;0;0,109;0,033;0;0,0899;0,858;171,79
Brian McFadden;Almost Here;0,561;0,452;9;-7,324;0;0,0336;0,409;0;0,106;0,316;77,984
Bobby V.;"Slow Down - 12"" Version";0,568;0,732;11;-4,896;0;0,103;0,179;4,92E-06;0,401;0,626;186,048
Backstreet Boys;Incomplete;0,437;0,589;4;-4,834;1;0,0331;0,231;0;0,0768;0,165;133,631
Pretty Ricky;Grind With Me;0,7;0,538;1;-5,952;1;0,045;0,000204;0;0,105;0,189;136,518
Kanye West;Diamonds From Sierra Leone - Remix;0,672;0,814;7;-3,768;1;0,27;0,258;0;0,164;0,379;97,043
Snoop Dogg;Drop It Like It's Hot;0,892;0,628;1;-3,832;1;0,216;0,169;0;0,102;0,676;92,063
Fat Joe;Get It Poppin' (feat. Nelly) - Radio Version;0,905;0,55;1;-7,558;1;0,372;0,0628;0;0,0644;0,52;100,813
Destiny's Child;Soldier (feat. T.I. & Lil' Wayne);0,878;0,417;7;-6,799;1;0,361;0,0444;0;0,0833;0,904;77,49
Ciara;1, 2 Step (feat. Missy Elliott) - Main;0,939;0,498;5;-10,94;0;0,161;0,0444;0,00128;0,0475;0,801;113,053
Amerie;1 Thing;0,636;0,946;10;-4,683;0;0,332;0,115;3,75E-05;0,0416;0,891;125,085
Ludacris;Get Back;0,555;0,639;1;-5,16;1;0,263;0,0594;0;0,118;0,184;171,609
Franz Ferdinand;Do You Want To;0,412;0,944;0;-2,896;1;0,0448;0,0724;0,000493;0,801;0,79;123,091
Natalie Imbruglia;Shiver;0,489;0,798;1;-4,49;1;0,0316;0,00115;2,81E-06;0,149;0,309;94,163
Gwen Stefani;Hollaback Girl;0,926;0,916;10;-2,221;0;0,0929;0,35;6,17E-06;0,0234;0,904;110,007
Pretty Ricky;Your Body;0,838;0,594;4;-5,695;0;0,113;0,176;0;0,0867;0,507;90,038
Thirty Seconds To Mars;The Kill;0,179;0,912;4;-3,881;0;0,0791;0,0014;0,000294;0,582;0,289;182,99
Alicia Keys;Karma;0,727;0,736;10;-6,203;1;0,0615;0,0743;0,00311;0,0348;0,687;85,098
2Pac;Ghetto Gospel;0,794;0,614;5;-5,352;0;0,0467;0,0964;0;0,0788;0,663;80,569
Craig David;Don't Love You No More (I'm Sorry);0,636;0,558;7;-7,076;1;0,0245;0,462;0;0,062;0,572;100,113
Katie Melua;Nine Million Bicycles;0,534;0,247;0;-15,636;1;0,0322;0,516;0,00859;0,122;0,344;82,168
Lil Jon & The East Side Boyz;Lovers And Friends;0,675;0,501;10;-6,183;1;0,22;0,0541;0;0,429;0,532;139,861
Mariah Carey;Don't Forget About Us - Radio Edit;0,7;0,529;10;-6,816;0;0,0395;0,0422;0;0,101;0,386;143,555
Ying Yang Twins;Wait (The Whisper Song);0,933;0,513;7;-13,203;1;0,347;0,00112;0,00248;0,107;0,595;102,017
Will Smith;Switch;0,873;0,9;5;-4,325;0;0,18;0,0107;0,000502;0,556;0,478;102,516
Bow Wow;Like You (feat. Ciara);0,714;0,6;6;-8,365;1;0,0876;0,0465;0;0,0646;0,504;82,017
Kaiser Chiefs;Everyday I Love You Less And Less;0,49;0,956;1;-4,556;0;0,0407;0,00466;6,15E-06;0,242;0,577;160,028
Kelly Clarkson;Behind These Hazel Eyes;0,548;0,889;9;-4,682;1;0,0382;0,00165;0,00109;0,197;0,425;90,048
Black Eyed Peas;Don't Lie;0,662;0,785;9;-5,299;1;0,186;0,16;0;0,0784;0,604;89,885
Westlife;You Raise Me Up;0,129;0,358;10;-6,596;1;0,0314;0,631;0;0,0886;0,172;75,048
Ray J;One Wish;0,525;0,652;5;-7,042;0;0,28;0,278;0;0,339;0,602;127,673
Papa Roach;Scars;0,455;0,929;11;-3,295;1;0,0494;0,0875;0;0,226;0,484;89,782
Arctic Monkeys;I Bet You Look Good On The Dancefloor;0,535;0,948;6;-4,19;0;0,0356;0,00225;0;0,376;0,778;103,183
Shayne Ward;That's My Goal;0,286;0,508;2;-5,966;1;0,0336;0,372;0;0,27;0,14;68,637
Bow Wow;Let Me Hold You (feat. Omarion);0,815;0,662;6;-8,244;1;0,199;0,0915;0,000409;0,0898;0,611;151,518
Kaiser Chiefs;I Predict A Riot;0,395;0,979;8;-3,241;1;0,0766;0,0243;0;0,12;0,41;158,842
Usher;Caught Up;0,817;0,806;6;-4,606;1;0,0623;0,027;9,00E-06;0,119;0,805;110,086
Kelly Clarkson;Because of You;0,587;0,583;5;-5,284;0;0,0313;0,248;0;0,124;0,15;139,92
3 Doors Down;Let Me Go;0,478;0,863;1;-4,914;0;0,0387;0,0181;0;0,111;0,491;92,004
Nickelback;Photograph;0,515;0,876;8;-3,756;1;0,0292;0,000932;0,000166;0,136;0,385;145,916
T-Pain;I'm Sprung;0,722;0,329;0;-11,617;0;0,108;0,088;0;0,081;0,166;99,991
Destiny's Child;Cater 2 U;0,605;0,584;11;-7,043;0;0,197;0,286;0;0,235;0,464;125,802
The Pussycat Dolls;Stickwitu;0,548;0,554;9;-6,408;1;0,0587;0,283;0;0,0708;0,382;79,918
Ryan Cabrera;TRUE;0,598;0,4;6;-10,054;1;0,0241;0,459;0;0,151;0,369;96,938
Stereophonics;Dakota;0,506;0,93;4;-3,499;1;0,0675;0,129;0,00682;0,0931;0,305;146,994
Eminem;Like Toy Soldiers;0,52;0,768;8;-3,489;0;0,359;0,0193;0,00034;0,104;0,398;79,178
Nelly;Over And Over;0,644;0,517;7;-10,02;1;0,0803;0,0065;1,37E-06;0,158;0,464;169,799
Coldplay;Speed of Sound;0,514;0,898;11;-6,765;0;0,0577;0,00488;0,0345;0,0746;0,353;123,067
KT Tunstall;Suddenly I See;0,587;0,767;0;-5,713;1;0,0449;0,225;0;0,112;0,664;100,38
Destiny's Child;Girl;0,567;0,747;6;-6,019;0;0,105;0,31;0;0,04;0,556;89,036
Kelly Clarkson;Since U Been Gone;0,662;0,739;9;-5,354;0;0,0322;0,00206;0,0603;0,113;0,382;130,999
U2;Sometimes You Can't Make It On Your Own;0,53;0,597;2;-5,652;1;0,0247;0,00275;0,473;0,105;0,346;96
The All-American Rejects;Dirty Little Secret;0,469;0,955;10;-4,253;1;0,0432;0,000343;1,35E-06;0,548;0,462;143,853
Toby Keith;As Good As I Once Was;0,68;0,87;5;-4,461;1;0,0393;0,266;0;0,109;0,646;119,075
Gwen Stefani;Cool;0,709;0,721;2;-3,52;1;0,0281;0,0322;0,000309;0,355;0,801;112,019
Foo Fighters;Best of You;0,366;0,94;1;-5,119;0;0,0696;0,000769;9,42E-05;0,188;0,369;130,198
Shakira;Hips Don't Lie (feat. Wyclef Jean);0,778;0,824;10;-5,892;0;0,0707;0,284;0;0,405;0,758;100,024
Sean Paul;Temperature;0,951;0,6;0;-4,675;0;0,0685;0,106;0;0,0712;0,822;125,04
Justin Timberlake;SexyBack (feat. Timbaland);0,967;0,583;7;-5,562;0;0,0789;0,0584;0;0,0519;0,964;117
Beyoncé;Irreplaceable;0,447;0,694;7;-4,637;0;0,382;0,0293;5,46E-06;0,167;0,509;175,868
Amy Winehouse;Rehab;0,407;0,558;0;-13,609;1;0,0552;0,0541;1,51E-06;0,34;0,777;71,815
Rihanna;SOS;0,677;0,671;7;-4,905;1;0,0361;0,004;5,07E-05;0,413;0,527;137,046
Gnarls Barkley;Crazy;0,855;0,587;8;-4,589;1;0,0336;0,0505;0,00714;0,105;0,64;111,97
Busta Rhymes;Touch It;0,658;0,551;1;-6,62;1;0,37;0,0043;0,000108;0,197;0,442;138,335
Nelly Furtado;Maneater;0,796;0,777;6;-4,81;1;0,0397;0,0261;0,000358;0,121;0,787;132,722
Bob Sinclar;Rock This Party - Everybody Dance Now;0,893;0,823;5;-3,708;0;0,122;0,0714;0;0,0509;0,902;128,009
Diddy;Come to Me (feat. Nicole Scherzinger);0,819;0,485;6;-6,45;0;0,0756;0,0176;0;0,658;0,386;96,998
Madonna;Sorry;0,589;0,877;0;-6,229;0;0,046;0,00121;0,013;0,169;0,443;132,971
Chamillionaire;Ridin';0,787;0,799;8;-4,68;0;0,0993;0,189;0;0,3;0,835;143,052
Black Eyed Peas;Pump It;0,648;0,931;1;-3,15;0;0,181;0,00937;0;0,752;0,744;153,649
Nelly Furtado;Promiscuous;0,808;0,97;10;-6,098;0;0,0506;0,0569;6,13E-05;0,154;0,868;114,328
Fedde Le Grand;Put Your Hands Up for Detroit - Radio Edit;0,814;0,923;7;-4,525;1;0,229;0,0154;0,154;0,0862;0,518;127,919
Sean Paul;(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;0,711;0,761;8;-3,04;1;0,225;0,067;0;0,041;0,718;95,824
The Pussycat Dolls;Buttons;0,565;0,817;2;-4,338;1;0,27;0,152;0;0,247;0,477;210,851
Ciara;Get Up (feat. Chamillionaire);0,964;0,595;1;-6,887;0;0,109;0,0248;5,14E-06;0,0405;0,629;128,593
Eminem;Shake That;0,963;0,643;1;-5,785;0;0,117;0,0507;4,94E-05;0,157;0,534;107,005
Cherish;Do It To It;0,826;0,67;2;-5,559;1;0,169;0,00798;0;0,495;0,794;74,007
Muse;Supermassive Black Hole;0,668;0,921;7;-3,727;1;0,0439;0,0492;0,00517;0,0877;0,782;120
Chris Brown;Gimme That;0,678;0,572;11;-7,033;0;0,0466;0,00374;6,59E-05;0,118;0,444;87,165
Infernal;From Paris to Berlin;0,741;0,869;9;-6,534;0;0,0816;0,096;0;0,0396;0,839;126,069
Cassie;Me & U;0,803;0,454;8;-4,802;0;0,0294;0,352;0;0,0655;0,739;99,99
E-40;U and Dat (feat. T. Pain & Kandi Girl);0,858;0,484;6;-7,448;0;0,277;0,0241;1,80E-06;0,123;0,329;99,992
The Pussycat Dolls;Beep;0,938;0,735;7;-6,382;1;0,0434;0,00952;0;0,0998;0,55;103,7
Lil Jon;Snap Yo Fingers;0,835;0,757;8;-5,029;0;0,23;0,00647;0;0,29;0,626;82,038
Armand Van Helden;My My My - Radio Edit;0,678;0,768;7;-8,502;1;0,137;0,0195;0,00866;0,0322;0,758;127,51
The Notorious B.I.G.;Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster;0,833;0,628;2;-7,041;1;0,141;0,0949;1,60E-06;0,282;0,645;106,328
Yung Joc;It's Goin' Down (feat. Nitti);0,888;0,577;1;-7,702;0;0,0612;0,0986;0;0,131;0,609;84,003
Shayne Ward;No Promises;0,5;0,498;4;-6,087;1;0,026;0,527;0;0,123;0,182;79,798
Justin Timberlake;My Love (feat. T.I.);0,771;0,68;11;-5,881;0;0,224;0,277;1,18E-05;0,682;0,808;119,952
Nickelback;Savin' Me;0,441;0,815;3;-4,088;1;0,0276;0,000731;0;0,414;0,522;164,007
Nelly;Grillz;0,867;0,504;4;-7,737;0;0,241;0,0358;0;0,307;0,84;82,996
Take That;Patience;0,309;0,783;10;-4,154;1;0,0405;0,142;1,11E-06;0,118;0,372;175,788
Fergie;London Bridge;0,769;0,609;1;-5,894;1;0,357;0,216;0;0,166;0,633;90,951
Cascada;Everytime We Touch - Radio Edit;0,64;0,977;8;-5,369;1;0,0555;0,00461;1,68E-05;0,371;0,493;142,019
D4L;Laffy Taffy;0,891;0,439;7;-7,994;0;0,428;0,0351;0;0,0932;0,622;77,499
LL Cool J;Control Myself;0,825;0,876;10;-6,556;0;0,211;0,00928;1,20E-05;0,205;0,48;120,066
Beyoncé;Deja Vu (feat. Jay-Z);0,644;0,746;7;-4,941;1;0,341;0,0071;1,22E-05;0,0743;0,355;105,253
P!nk;Stupid Girls;0,683;0,886;4;-5,045;0;0,071;0,000738;0,00188;0,0524;0,566;100,04
Eminem;When I'm Gone;0,618;0,746;10;-5,476;0;0,352;0,0553;0;0,273;0,75;75,272
Kelis;Bossy;0,906;0,633;4;-5,316;1;0,19;0,000182;8,34E-06;0,058;0,779;84,021
Bob Sinclar;Love Generation - Radio Edit;0,715;0,812;1;-5,758;1;0,062;0,175;0,000134;0,044;0,554;128,04
Meck;Thunder in My Heart Again (Radio Edit);0,679;0,922;2;-4,67;0;0,0294;0,000241;0,69;0,0697;0,806;129,016
Mary J. Blige;Be Without You - Kendu Mix;0,726;0,7;2;-5,881;0;0,0998;0,0717;0;0,262;0,673;146,559
Girls Aloud;Something Kinda Ooooh;0,681;0,908;11;-3,918;0;0,0473;0,0232;0;0,355;0,879;131,925
Rihanna;Unfaithful;0,588;0,391;0;-8,607;0;0,0334;0,839;0;0,227;0,349;144,069
Kanye West;Touch The Sky;0,552;0,846;9;-4,912;1;0,342;0,0114;0;0,309;0,554;98,56
Dem Franchize Boyz;Lean Wit It, Rock Wit It;0,886;0,62;5;-5,854;1;0,307;0,082;0;0,1;0,6;76,035
Evanescence;Call Me When You're Sober;0,45;0,883;7;-4,094;1;0,0524;0,00193;0;0,293;0,328;93,41
Chingy;Pullin' Me Back;0,786;0,511;7;-6,66;1;0,286;0,0825;0;0,12;0,587;80
Nickelback;Far Away;0,518;0,797;6;-5,153;1;0,0309;0,000681;0;0,107;0,293;132,918
Fall Out Boy;Dance, Dance;0,622;0,961;11;-3,198;0;0,154;0,00523;0;0,0854;0,449;114,452
Leona Lewis;A Moment Like This;0,261;0,562;8;-3,667;1;0,0301;0,423;7,54E-06;0,131;0,167;70,543
T.I.;What You Know;0,551;0,81;11;-4,365;1;0,0344;0,0155;0;0,169;0,332;73,464
Ludacris;Money Maker;0,551;0,598;1;-6,79;1;0,27;0,15;0;0,299;0,612;78,756
Nick Lachey;What's Left Of Me;0,42;0,742;7;-5,665;1;0,0375;0,142;0;0,145;0,294;149,965
Jibbs;Chain Hang Low;0,792;0,589;4;-6,869;0;0,262;0,0259;0,000128;0,114;0,778;157,147
Arctic Monkeys;When The Sun Goes Down;0,348;0,875;11;-4,758;0;0,199;0,0341;0;0,117;0,407;169,152
Rascal Flatts;Life is a Highway;0,561;0,936;5;-5,409;1;0,0613;0,00185;0;0,102;0,594;103,055
Beyoncé;Check On It (feat. Slim Thug);0,7;0,887;7;-3,887;1;0,218;0,0805;0;0,376;0,883;166,104
Keyshia Cole;Love;0,688;0,519;5;-4,285;1;0,0283;0,064;0;0,1;0,318;116,714
Lily Allen;Smile;0,632;0,639;5;-5,938;1;0,0259;0,00143;0;0,221;0,733;95,506
Ne-Yo;Sexy Love;0,693;0,516;8;-6,446;1;0,0413;0,297;0,000127;0,0604;0,494;94,02
JoJo;Too Little Too Late;0,535;0,823;6;-5,338;0;0,0431;0,0113;3,88E-06;0,146;0,685;83,001
Mary J. Blige;One;0,344;0,874;0;-3,161;1;0,0777;0,0841;0;0,129;0,269;185,888
Bubba Sparxxx;Ms. New Booty;0,64;0,62;1;-5,931;1;0,416;0,016;0;0,0831;0,609;129,37
Amy Winehouse;You Know I'm No Good;0,705;0,806;9;-3,607;1;0,0309;0,0132;0,00428;0,0701;0,734;103,383
Rascal Flatts;What Hurts The Most;0,537;0,674;5;-5,134;0;0,0277;0,0088;0;0,265;0,33;136,002
Red Hot Chili Peppers;Dani California;0,556;0,913;0;-2,36;1;0,0437;0,0193;8,59E-06;0,346;0,73;96,184
Scissor Sisters;I Don't Feel Like Dancin';0,707;0,923;7;-3,409;1;0,0276;0,0195;0;0,342;0,845;108,023
Ne-Yo;So Sick;0,452;0,574;6;-8,336;1;0,31;0,246;0;0,189;0,58;92,791
Hinder;Lips Of An Angel;0,474;0,744;2;-5,386;1;0,0341;0,0208;1,22E-06;0,209;0,238;129,005
The Raconteurs;Steady, As She Goes;0,525;0,578;9;-4,563;1;0,12;0,0132;0,00916;0,108;0,537;123,696
The Fratellis;Chelsea Dagger;0,511;0,815;7;-3,14;1;0,144;0,0491;0;0,0826;0,586;154,514
Fort Minor;Where'd You Go (feat. Holly Brook & Jonah Matranga);0,684;0,819;1;-3,309;0;0,238;0,262;0,00197;0,113;0,25;179,999
The Pussycat Dolls;Stickwitu;0,548;0,554;9;-6,408;1;0,0587;0,283;0;0,0708;0,382;79,918
Panic! At The Disco;I Write Sins Not Tragedies;0,566;0,815;9;-4,481;0;0,14;0,0737;0;0,12;0,672;169,961
James Blunt;Goodbye My Lover;0,432;0,261;4;-12,591;1;0,0512;0,953;0,00342;0,0903;0,273;89,567
Christina Aguilera;Ain't No Other Man;0,862;0,742;7;-4,722;1;0,222;0,00376;0,00855;0,103;0,511;127,91
Westlife;The Rose;0,272;0,203;9;-9,706;1;0,0294;0,784;0;0,0805;0,172;109,581
Keane;Is It Any Wonder?;0,489;0,955;11;-2,771;0;0,0363;3,82E-05;0,000178;0,334;0,816;129,352
Orson;No Tomorrow;0,656;0,624;3;-4,623;0;0,0691;0,0065;0;0,278;0,735;124,082
T-Pain;I'm N Luv (Wit a Stripper) (feat. Mike Jones);0,731;0,368;8;-10,38;1;0,0688;0,00544;0;0,193;0,512;145,171
KT Tunstall;Black Horse And The Cherry Tree;0,748;0,786;4;-7,788;0;0,0641;0,328;0;0,34;0,917;104,833
Natasha Bedingfield;Unwritten;0,706;0,8;5;-6,333;1;0,0399;0,00584;0;0,0822;0,629;100,011
Razorlight;America;0,447;0,568;2;-4,975;1;0,0305;0,295;3,26E-06;0,355;0,149;90,933
James Morrison;You Give Me Something;0,559;0,688;7;-6,496;1;0,114;0,216;0;0,0855;0,578;79,753
Snow Patrol;You're All I Have;0,467;0,921;2;-4,554;1;0,045;5,48E-05;0,0566;0,176;0,501;132,013
The Fray;How to Save a Life;0,64;0,743;10;-4,08;1;0,0379;0,269;0;0,101;0,361;122,035
Sandi Thom;I Wish I Was a Punk Rocker (with Flowers in My Hair);0,7;0,465;4;-6,815;1;0,358;0,544;0;0,606;0,719;108,102
My Chemical Romance;Welcome to the Black Parade;0,217;0,905;2;-4,103;1;0,0752;0,000289;0,00011;0,222;0,236;96,95
Razorlight;In The Morning;0,616;0,855;4;-3,495;0;0,042;0,00379;0,000863;0,318;0,686;124,191
The All-American Rejects;Dirty Little Secret;0,469;0,955;10;-4,253;1;0,0432;0,000343;1,35E-06;0,548;0,462;143,853
James Morrison;Wonderful World;0,474;0,71;1;-4,606;1;0,029;0,0548;0;0,0974;0,591;78,969
Chris Brown;Yo (Excuse Me Miss);0,536;0,612;4;-5,847;1;0,272;0,119;0;0,209;0,57;86,768
P!nk;Who Knew;0,688;0,734;9;-4,569;1;0,0274;0,00462;0;0,0756;0,46;140,004
The Kooks;Naive;0,391;0,808;8;-6,209;0;0,0892;0,0759;0;0,149;0,737;100,304
Leona Lewis;Bleeding Love;0,638;0,656;5;-5,886;1;0,0357;0,188;0;0,146;0,225;104,036
Rihanna;Umbrella;0,583;0,829;1;-4,603;1;0,134;0,00864;0;0,0426;0,575;174,028
Britney Spears;Gimme More;0,788;0,844;2;-3,131;1;0,0334;0,25;0,000678;0,0723;0,382;113,324
Fergie;Big Girls Don't Cry (Personal);0,708;0,641;7;-4,296;1;0,0335;0,205;0;0,0945;0,253;113,082
Mark Ronson;Valerie (feat. Amy Winehouse) - Version Revisited;0,698;0,844;1;-4,789;1;0,0544;0,00253;0,000426;0,124;0,896;105,828
Plain White T's;Hey There Delilah;0,656;0,291;2;-10,572;1;0,0293;0,872;0;0,114;0,298;103,971
Justin Timberlake;What Goes Around.../...Comes Around (Interlude);0,687;0,723;7;-4,751;1;0,0709;0,122;0,00102;0,573;0,432;76
Gwen Stefani;The Sweet Escape;0,756;0,77;1;-3,502;1;0,0343;0,191;0;0,178;0,73;119,961
Timbaland;The Way I Are;0,731;0,807;3;-6,492;0;0,1;0,181;0,751;0,319;0,765;114,759
Nelly Furtado;Say It Right;0,872;0,872;1;-6,328;1;0,139;0,0476;0,00112;0,0543;0,809;116,948
Ida Corr;Let Me Think About It;0,762;0,754;0;-3,425;0;0,046;0,00022;0,0665;0,146;0,715;129,026
Alex Gaudino;Destination Calabria - Radio Edit;0,627;0,954;2;-4,804;1;0,0425;0,0015;0,000814;0,292;0,312;128,016
September;Cry for You;0,767;0,881;9;-3,988;1;0,0301;0,00133;0,000139;0,0551;0,961;130,018
Akon;Smack That;0,94;0,743;5;-5,166;0;0,0475;0,317;0;0,0909;0,932;118,988
Timbaland;Give It To Me;0,975;0,711;8;-3,904;1;0,0632;0,168;0,000552;0,0799;0,815;110,621
50 Cent;Ayo Technology;0,63;0,782;8;-5,44;0;0,132;0,0828;0;0,034;0,418;140,144
Eric Prydz;Proper Education - Radio Edit;0,537;0,937;0;-4,543;1;0,0523;0,00102;0,035;0,0917;0,324;124,938
Fedde Le Grand;Put Your Hands Up For Detroit - Radio Edit;0,827;0,931;7;-4,474;1;0,202;0,0153;0,21;0,0992;0,491;127,995
Ciara;Like a Boy;0,701;0,724;0;-5,751;0;0,145;0,267;0;0,0867;0,425;132,035
Kanye West;Stronger;0,617;0,717;10;-7,858;0;0,153;0,00564;0;0,408;0,49;103,992
Beyoncé;Beautiful Liar;0,764;0,751;8;-3,74;1;0,0703;0,00554;0,000237;0,164;0,418;91,977
Gym Class Heroes;Cupid's Chokehold / Breakfast in America - Radio Mix;0,584;0,681;1;-5,084;0;0,0781;0,495;0;0,289;0,821;79,702
Akon;I Wanna Love You;0,865;0,45;0;-9,387;1;0,0417;0,0359;1,28E-06;0,308;0,352;99,989
Soulja Boy;Crank That (Soulja Boy);0,736;0,74;0;-2,18;1;0,0786;0,515;0;0,0468;0,803;140,141
Fat Joe;Make It Rain;0,744;0,697;11;-5,063;0;0,197;0,0106;0;0,0842;0,767;149,28
P!nk;U + Ur Hand;0,709;0,891;0;-3,688;1;0,0528;0,00144;0;0,034;0,886;141,04
Rihanna;Shut Up And Drive;0,735;0,826;1;-4,902;1;0,0349;0,00101;0,129;0,197;0,74;132,964
Lloyd;Get It Shawty;0,822;0,905;5;-4,032;0;0,241;0,123;0;0,0496;0,674;128,014
Kanye West;Can't Tell Me Nothing;0,596;0,62;5;-6,133;0;0,039;0,0122;0;0,82;0,102;80,029
Camille Jones;The Creeps - Fedde Le Grand Radio Mix;0,847;0,861;6;-6,632;1;0,0603;0,278;0,029;0,0626;0,724;127,894
Linkin Park;What I've Done;0,623;0,93;5;-5,285;1;0,0324;0,0141;1,64E-06;0,138;0,287;120,119
Keyshia Cole;Last Night;0,918;0,857;3;-5,032;0;0,0623;0,166;0,0003;0,0855;0,972;121,006
Chris Brown;Kiss Kiss (feat. T-Pain);0,729;0,658;10;-3,386;0;0,225;0,0506;0;0,0693;0,551;140,043
