artist;song;popularity
Steps;It's the Way You Make Me Feel;53
Sunshine Anderson;Heard It All Before;56
Lenny Kravitz;Again;68
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;46
DB Boulevard;Point Of View - Radio Edit;0
Janet Jackson;All For You;65
Atomic Kitten;Whole Again;66
Ja Rule;Livin' It Up;64
Destiny's Child;Independent Women, Pt. 1;65
DJ Pied Piper & The Masters Of Ceremonies;Do You Really Like It? - Radio Edit;54
Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;66
Musiq Soulchild;Love;0
So Solid Crew;21 Seconds;51
Robbie Williams;Eternity;48
Basement Jaxx;Romeo;0
Ludacris;Southern Hospitality (Featuring Pharrell);54
Gabrielle;Rise;60
Nelly;Ride Wit Me;75
Trick Daddy;I'm a Thug;59
Travis;Sing;68
JAY-Z;Izzo (H.O.V.A.);63
Gabrielle;Out Of Reach;69
OPM;Heaven Is a Halfpipe (If I Die);56
K-Ci & JoJo;Crazy;30
Staind;It's Been Awhile;64
3LW;No More (Baby I'ma Do Right);56
Ginuwine;Differences;65
*NSYNC;Gone;45
Lifehouse;Hanging By A Moment;61
Nelly;Dilemma;77
Eminem;Without Me;87
Avril Lavigne;Complicated;78
Vanessa Carlton;A Thousand Miles;75
The Calling;Wherever You Will Go;72
Shakira;Underneath Your Clothes;64
No Doubt;Underneath It All;27
Truth Hurts;Addictive;58
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);68
Eminem;'Till I Collapse;85
Diddy;I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans];69
Christina Milian;When You Look At Me - Radio Edit;60
Madonna;Die Another Day;53
Jennifer Lopez;I'm Gonna Be Alright (feat. Nas);53
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);40
Linkin Park;In the End;83
Las Ketchup;The Ketchup Song (Aserejé) - Spanglish Version;66
Aaliyah;Rock The Boat;0
Holly Valance;Kiss Kiss;54
Sugababes;Round Round;59
Marilyn Manson;Tainted Love;60
Brandy;What About Us?;43
Chad Kroeger;Hero (feat. Josey Scott);66
Britney Spears;Overprotected - Radio Edit;61
Scooter;The Logical Song;46
Missy Elliott;4 My People (feat. Eve);49
Aaliyah;More Than A Woman;42
Brandy;Full Moon;52
Blue;One Love;60
Busta Rhymes;Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix;55
Céline Dion;A New Day Has Come - Radio Remix;59
Scooter;Nessaja;47
Eve;Gangsta Lovin';58
Disturbing Tha Peace;Move Bitch;59
Khia;My Neck, My Back (Lick It);59
Tweet;Oops (Oh My) [feat. Missy Elliott];64
Kylie Minogue;Spinning Around;55
Nelly;Hot In Herre;75
Gareth Gates;Anyone of Us (Stupid Mistake);53
Christina Aguilera;Dirrty (feat. Redman);68
B2K;Uh Huh;49
Sugababes;Freak Like Me;45
Dirty Vegas;Days Go By;48
Fat Joe;What's Luv? (feat. Ja-Rule & Ashanti);73
Liberty X;Just A Little;43
No Doubt;Hella Good;26
LL Cool J;Luv U Better;2
Red Hot Chili Peppers;Can't Stop;80
Musiq Soulchild;Halfcrazy;58
Sean Paul;Gimme the Light;59
Faith Evans;I Love You;53
Charli Baltimore;Down 4 U;47
Kylie Minogue;Love at First Sight;55
N.O.R.E.;Nothin';58
Gareth Gates;Unchained Melody;35
Diddy;I Need a Girl (Pt. 1) [feat. Usher & Loon];63
Big Brovaz;Nu Flow;45
No Doubt;Hey Baby;24
Ashanti;Baby;55
Sophie Ellis-Bextor;Murder On The Dancefloor;62
Justin Timberlake;Like I Love You;62
Mary J. Blige;Rainy Dayz;32
A1;Caught in the Middle;53
Eminem;Cleanin' Out My Closet;71
Ashanti;Happy;61
Delta Goodrem;Born to Try;54
P!nk;Get the Party Started;68
Alicia Keys;A Woman's Worth;52
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;56
Coldplay;Clocks;79
Missy Elliott;Work It;70
Ronan Keating;If Tomorrow Never Comes;60
Big Tymers;Still Fly;64
Creed;My Sacrifice;69
Ja Rule;Always On Time;73
Ashanti;Foolish;70
Avril Lavigne;Sk8er Boi;75
DJ Sammy;Heaven;63
Britney Spears;I'm Not a Girl, Not Yet a Woman;58
Cam’ron;Oh Boy;67
Red Hot Chili Peppers;By the Way;73
Elvis Presley;A Little Less Conversation - JXL Radio Edit Remix;60
Atomic Kitten;The Tide Is High - Radio Mix;65
*NSYNC;Girlfriend;50
Robbie Williams;Somethin' Stupid;64
Alanis Morissette;Hands Clean;57
Usher;U Don't Have to Call;59
Creed;One Last Breath - Radio Version;47
The Goo Goo Dolls;Here Is Gone;56
Puddle Of Mudd;She Hates Me;70
Ludacris;Rollout (My Business);60
Blazin' Squad;Crossroads - Radio Edit;40
Default;Wasting My Time;40
Michelle Branch;All You Wanted;60
Daniel Bedingfield;If You're Not The One;58
Enrique Iglesias;Escape;56
Puddle Of Mudd;Blurry;64
Coldplay;In My Place;72
Outkast;The Whole World (feat. Killer Mike);51
P!nk;Don't Let Me Get Me - Radio Edit;60
50 Cent;In Da Club;81
Sean Paul;Get Busy;74
Eminem;"Lose Yourself - From ""8 Mile"" Soundtrack";77
Beyoncé;Crazy In Love (feat. Jay-Z);76
Counting Crows;Big Yellow Taxi;50
Black Eyed Peas;Where Is The Love?;68
Jennifer Lopez;Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix;70
Black Eyed Peas;Shut Up;56
t.A.T.u.;All The Things She Said;39
Benny Benassi;Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz;66
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);68
Panjabi MC;Mundian to Bach Ke;61
Mis-Teeq;Scandalous - U.S. Radio Edit;59
JAY-Z;03' Bonnie & Clyde;71
50 Cent;P.I.M.P.;76
Jamelia;Superstar;69
Linkin Park;Faint;72
DMX;X Gon' Give It To Ya;70
Evanescence;Bring Me To Life;79
Sugababes;Hole In The Head;57
Craig David;Rise & Fall (feat. Sting);59
Three Days Grace;I Hate Everything About You;72
Lil Jon & The East Side Boyz;Get Low;47
B2K;Bump, Bump, Bump (feat. P. Diddy);62
Baby Bash;Suga Suga;73
Aaliyah;Miss You - Main;36
Britney Spears;Me Against the Music (feat. Madonna) - LP Version / Video Mix;59
Blue;Sorry Seems To Be The Hardest Word;57
Delta Goodrem;Lost Without You;54
Justin Timberlake;Rock Your Body;76
The White Stripes;Seven Nation Army;3
Youngbloodz;Damn! (feat. Lil' Jon) - Club Mix;54
Beyoncé;Baby Boy (feat. Sean Paul);63
Lil' Kim;Magic Stick;47
Christina Aguilera;Can't Hold Us Down (feat. Lil' Kim);61
Nickelback;Someday;68
Blue;U Make Me Wanna - Radio Edit;48
Ashanti;Rain On Me;50
Trapt;Headstrong;72
Simply Red;Sunrise;58
Lumidee;Never Leave You (Uh Oooh, Uh Oooh);61
Girls Aloud;Sound Of The Underground;58
Nelly;Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster;52
Room 5;Make Luv;57
Fatman Scoop;Be Faithful;49
Limp Bizkit;Behind Blue Eyes;70
Sugababes;Too Lost In You;58
50 Cent;"Wanksta - From ""8 Mile"" Soundtrack";57
